ID;Carimbo de data/hora;Função exercida ?;Porte da Empresa;Tempo de Empresa;Tempo de Cargo ou Experiência;Escolaridade;Faixa Etária;Gênero;O1 Suporte da Alta Gerencia;O2 Competência do Time do Projeto;O3 Cooperação e Comunicação Interna;O4 Objetivos e Metas Claras;O5 Gestão do Projeto;O6 Gestão das Expectativas;O7 Presença do Gestor do Projeto;O8 Seleção da Solução e Tecnologia;O9 Análise e Coleta de Dados;O10 Treinamento para Equipe e Usuários Finais;O11 Estudo de Processos e Análise de Negócios;O12 Customização da Solução;O13 Gestão de Mudanças;O14 Gestão de Parcerias para Execução do Projeto;O15 Uso dos Consultores;Suporte da Alta Gerencia;Competência do Time do Projeto;Cooperação e Comunicação Interna;Objetivos e Metas Claras;Gestão do Projeto;Gestão das Expectativas;Presença do Gestor do Projeto;Seleção da Solução e Tecnologia;Análise e Coleta de Dados;Treinamento para Equipe e Usuários Finais;Estudo de Processos e Análise de Negócios;Customização da Solução;Gestão de Mudanças;Gestão de Parcerias para Execução do Projeto;Uso dos Consultores;Suporte da Alta Gerencia;Competência do Time do Projeto;Cooperação e Comunicação Interna;Objetivos e Metas Claras;Gestão do Projeto;Gestão das Expectativas;Presença do Gestor do Projeto;Seleção da Solução e Tecnologia;Análise e Coleta de Dados;Treinamento para Equipe e Usuários Finais;Estudo de Processos e Análise de Negócios;Customização da Solução;Gestão de Mudanças;Gestão de Parcerias para Execução do Projeto;Uso dos Consultores
1;7/31/2021 12:06:52;Consultor;Grande (acima de 500 funcionários);Igual ou inferior a 1 ano;Igual ou inferior a 2 anos;Ensino superior incompleto;Entre 21 e 30 anos;Masculino;5;2;2;5;5;3;5;5;5;2;4;3;1;1;4;2;5;5;1;1;5;2;1;1;4;1;1;4;1;5;1;5;1;1;1;5;2;1;1;5;1;1;4;1;3
2;8/3/2021 15:39:08;Coordenador;Pequena (até 99 funcionários);Acima de 5 anos;Acima de 5 anos;Pós-graduação completo;Entre 21 e 30 anos;Masculino;3;4;5;4;3;4;3;3;4;4;5;3;3;3;2;1;5;5;4;4;4;3;3;3;4;4;3;3;3;2;5;3;4;4;3;4;5;1;4;3;4;3;3;3;3
3;8/4/2021 23:37:02;Analista;Pequena (até 99 funcionários);Maior que 2 e inferior a 5 anos;Maior que 2 e inferior a 5 anos;Pós-graduação completo;Entre 21 e 30 anos;Masculino;5;5;5;5;5;5;5;5;5;3;5;4;5;5;3;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5
4;8/5/2021 8:46:28;Gerente;Pequena (até 99 funcionários);Acima de 5 anos;Acima de 5 anos;Ensino superior completo;Entre 31 e 40 anos;Masculino;3;5;5;5;5;5;5;5;5;4;5;3;5;5;2;5;5;5;5;5;5;4;3;5;5;5;2;5;2;1;5;5;5;5;5;5;3;2;2;4;3;2;5;2;1
5;8/5/2021 21:45:27;Gerente;Grande (acima de 500 funcionários);Acima de 5 anos;Acima de 5 anos;Ensino superior completo;Entre 31 e 40 anos;Feminino;4;5;5;5;5;4;4;5;5;5;5;3;4;4;3;3;5;5;5;4;4;3;5;4;5;4;3;5;4;5;3;4;5;3;5;5;5;5;5;5;5;3;4;3;5
6;8/9/2021 17:52:20;Analista;Grande (acima de 500 funcionários);Maior que 2 e inferior a 5 anos;Acima de 5 anos;Ensino superior completo;Entre 21 e 30 anos;Masculino;2;5;4;5;5;5;3;5;5;5;5;3;5;5;5;2;5;5;5;5;5;3;5;5;5;5;3;5;5;5;4;5;5;5;5;5;4;3;3;3;1;1;1;1;4
7;8/9/2021 18:05:26;Coordenador;Grande (acima de 500 funcionários);Maior que 2 e inferior a 5 anos;Maior que 2 e inferior a 5 anos;Ensino superior completo;Entre 31 e 40 anos;Masculino;3;4;5;4;5;5;5;4;4;5;4;5;4;5;5;4;5;5;4;5;5;3;4;4;5;4;5;4;5;5;5;4;5;3;3;5;3;5;5;4;4;4;4;3;4
8;8/9/2021 18:30:08;Coordenador;Grande (acima de 500 funcionários);Acima de 5 anos;Maior que 2 e inferior a 5 anos;Pós-graduação completo;Entre 31 e 40 anos;Feminino;5;5;5;5;5;5;5;5;5;5;5;4;5;5;5;3;5;5;5;5;5;4;5;3;5;3;5;5;5;5;4;5;5;4;5;4;5;3;2;3;2;2;3;1;3
9;8/9/2021 18:52:31;Coordenador;Grande (acima de 500 funcionários);Maior que 2 e inferior a 5 anos;Maior que 2 e inferior a 5 anos;Pós-graduação completo;Entre 21 e 30 anos;Feminino;5;5;5;5;5;5;5;5;5;5;5;4;5;5;5;4;5;5;5;5;5;5;5;5;5;5;5;5;5;5;4;5;5;5;5;5;4;5;5;5;5;4;5;5;5
10;8/10/2021 9:52:22;Analista;Grande (acima de 500 funcionários);Igual ou inferior a 1 ano;Igual ou inferior a 1 ano;Ensino superior completo;Entre 41 e 50 anos;Masculino;4;5;5;5;5;5;5;5;5;5;5;4;5;5;5;4;5;5;5;5;5;5;5;5;5;5;4;5;5;5;3;5;5;5;5;5;3;5;3;5;3;2;5;3;4
11;8/10/2021 18:32:08;Consultor;Grande (acima de 500 funcionários);Acima de 5 anos;Acima de 5 anos;Pós-graduação completo;Entre 31 e 40 anos;Masculino;5;5;5;5;5;4;3;5;5;5;5;5;5;4;5;4;5;5;5;5;5;4;5;5;5;5;5;5;5;5;5;4;5;5;5;5;5;5;5;5;5;5;5;5;5
12;8/10/2021 18:46:29;Analista;Grande (acima de 500 funcionários);Igual ou inferior a 1 ano;Acima de 5 anos;Pós-graduação completo;Entre 41 e 50 anos;Feminino;4;5;5;5;5;4;4;5;5;5;5;4;4;5;5;4;5;5;5;4;4;4;5;5;5;5;4;4;4;5;3;4;4;5;5;5;5;4;3;4;4;4;4;4;5
13;8/10/2021 18:56:49;Analista;Grande (acima de 500 funcionários);Igual ou inferior a 1 ano;Maior que 2 e inferior a 5 anos;Pós-graduação completo;Entre 21 e 30 anos;Feminino;4;5;5;5;4;4;4;5;4;5;5;3;4;3;4;3;5;5;5;5;5;4;3;2;5;2;3;4;3;5;5;3;5;5;3;4;4;3;2;3;2;3;4;2;4
14;8/10/2021 20:32:49;Gerente;Media (de 100 até 499 funcionários);Igual ou inferior a 1 ano;Maior que 2 e inferior a 5 anos;Ensino superior incompleto;Entre 21 e 30 anos;Feminino;4;5;5;5;5;5;4;4;5;5;4;4;4;4;3;5;4;5;5;5;5;4;5;5;5;4;4;5;3;3;4;3;5;5;4;5;3;4;5;5;4;3;5;4;3
15;8/10/2021 21:02:08;Consultor;Grande (acima de 500 funcionários);Acima de 5 anos;Acima de 5 anos;Pós-graduação completo;Entre 31 e 40 anos;Feminino;5;5;4;5;5;4;4;4;5;5;5;3;4;3;5;5;5;5;5;4;4;4;5;5;5;5;3;4;4;5;5;4;5;4;5;4;5;5;3;5;5;3;3;4;5
16;8/10/2021 22:23:10;Consultor;Grande (acima de 500 funcionários);Igual ou inferior a 2 anos;Maior que 2 e inferior a 5 anos;Ensino superior incompleto;Entre 21 e 30 anos;Masculino;5;5;5;5;5;5;4;5;5;5;5;4;4;4;5;5;5;5;5;5;5;5;5;5;5;5;4;4;4;5;5;5;5;5;5;5;4;5;5;5;5;4;4;4;5
17;8/10/2021 23:12:45;Consultor;Media (de 100 até 499 funcionários);Maior que 2 e inferior a 5 anos;Acima de 5 anos;Pós-graduação completo;Entre 31 e 40 anos;Masculino;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5
18;8/11/2021 7:08:52;Consultor;Grande (acima de 500 funcionários);Igual ou inferior a 1 ano;Acima de 5 anos;Ensino superior completo;Entre 31 e 40 anos;Masculino;5;4;5;5;5;4;5;5;5;5;5;4;4;4;3;3;5;5;5;5;4;3;5;5;5;4;4;4;5;5;2;4;4;5;3;5;2;2;3;5;4;5;5;5;5
19;8/11/2021 8:06:38;Consultor;Grande (acima de 500 funcionários);Maior que 2 e inferior a 5 anos;Acima de 5 anos;Pós-graduação completo;Entre 41 e 50 anos;Masculino;5;5;5;5;5;4;4;5;5;5;5;4;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;2;5;5;4;5;2;5;3;5;3;3;5;3;2
20;8/11/2021 8:45:28;Analista;Media (de 100 até 499 funcionários);Igual ou inferior a 1 ano;Igual ou inferior a 1 ano;Ensino superior completo;Entre 21 e 30 anos;Masculino;4;5;3;3;5;5;3;3;3;3;3;2;2;1;4;4;4;3;2;4;3;3;2;2;4;3;2;2;1;4;5;3;5;1;1;1;1;1;1;2;1;1;1;1;1
21;8/11/2021 16:38:33;Consultor;Media (de 100 até 499 funcionários);Maior que 2 e inferior a 5 anos;Maior que 2 e inferior a 5 anos;Ensino superior completo;Entre 31 e 40 anos;Masculino;5;5;4;5;5;3;4;3;4;5;4;5;3;2;5;5;5;5;5;5;3;4;4;5;5;5;5;4;2;5;3;3;3;3;4;4;3;2;1;1;1;1;3;1;1
22;8/11/2021 18:40:20;Consultor;Grande (acima de 500 funcionários);Igual ou inferior a 1 ano;Acima de 5 anos;Ensino superior completo;Entre 31 e 40 anos;Masculino;5;5;5;5;5;5;4;5;5;5;4;3;5;3;5;3;5;5;5;5;5;3;5;4;5;3;3;4;1;5;5;2;4;2;3;5;5;3;3;4;4;3;3;2;3
23;8/11/2021 20:38:33;Consultor;Grande (acima de 500 funcionários);Maior que 2 e inferior a 5 anos;Acima de 5 anos;Ensino superior completo;Entre 31 e 40 anos;Masculino;3;5;4;3;4;5;4;3;4;3;4;2;3;2;5;2;5;3;4;5;4;5;3;5;4;4;2;4;2;5;3;3;3;4;3;3;2;4;2;5;5;4;3;3;3
24;8/11/2021 20:43:18;Consultor;Grande (acima de 500 funcionários);Maior que 2 e inferior a 5 anos;Acima de 5 anos;Ensino superior incompleto;Entre 21 e 30 anos;Masculino;4;5;4;4;5;3;5;5;5;2;5;5;5;3;3;3;5;5;5;5;4;5;5;5;5;5;3;5;4;5;5;5;4;5;5;5;3;1;3;1;4;1;5;5;1
25;8/11/2021 21:21:36;Consultor;Pequena (até 99 funcionários);Acima de 5 anos;Acima de 5 anos;Pós-graduação completo;Entre 41 e 50 anos;Feminino;5;5;5;5;5;4;4;4;5;5;4;3;4;4;5;4;5;5;4;4;4;4;3;4;5;3;3;4;4;5;3;2;4;3;3;4;3;3;2;2;2;2;4;3;2
26;8/11/2021 22:47:17;Consultor;Grande (acima de 500 funcionários);Maior que 2 e inferior a 5 anos;Acima de 5 anos;Pós-graduação completo;Entre 41 e 50 anos;Feminino;5;4;5;5;5;4;4;5;5;5;5;4;5;5;5;4;5;5;5;5;5;4;4;5;5;5;4;5;5;5;4;5;5;5;5;5;4;4;5;5;5;4;3;5;5
27;8/12/2021 0:03:03;Consultor;Grande (acima de 500 funcionários);Maior que 2 e inferior a 5 anos;Acima de 5 anos;Ensino superior completo;Entre 31 e 40 anos;Masculino;5;4;4;5;3;5;3;4;5;4;5;3;5;4;5;2;5;4;4;4;3;3;5;4;3;3;3;5;5;5;3;3;5;2;2;2;1;1;1;5;1;3;5;2;2
28;8/12/2021 7:25:00;Consultor;Media (de 100 até 499 funcionários);Acima de 5 anos;Acima de 5 anos;Ensino médio completo;Entre 41 e 50 anos;Masculino;4;3;5;4;4;4;5;5;5;3;4;5;4;4;4;4;3;4;4;4;4;5;5;3;4;4;4;4;4;4;3;4;3;4;3;3;5;4;4;4;3;3;3;3;3
29;8/12/2021 9:39:52;Consultor;Grande (acima de 500 funcionários);Igual ou inferior a 2 anos;Acima de 5 anos;Pós-graduação completo;Entre 31 e 40 anos;Masculino;5;5;4;4;5;4;3;4;4;5;4;4;4;4;5;5;4;4;5;5;4;4;4;4;5;5;4;4;3;4;3;3;5;2;3;3;2;2;1;5;2;1;5;2;2
30;8/12/2021 10:08:48;Consultor;Pequena (até 99 funcionários);Acima de 5 anos;Acima de 5 anos;Pós-graduação completo;Entre 31 e 40 anos;Masculino;3;5;4;4;3;3;2;4;3;4;4;3;3;2;3;3;5;4;3;3;3;3;4;3;4;3;3;3;2;3;3;5;4;4;3;3;3;4;3;4;3;3;3;2;3
31;8/12/2021 11:20:23;Consultor;Media (de 100 até 499 funcionários);Não estou trabalhando atualmente;Acima de 5 anos;Pós-graduação completo;Entre 31 e 40 anos;Masculino;3;5;5;5;5;5;5;5;5;4;4;3;2;2;5;3;4;5;4;3;3;5;3;3;5;2;3;3;2;5;5;2;5;2;5;3;5;1;2;2;1;3;2;1;2
32;8/12/2021 20:26:53;Gerente;Pequena (até 99 funcionários);Acima de 5 anos;Acima de 5 anos;Ensino superior incompleto;Entre 21 e 30 anos;Masculino;5;5;5;4;5;5;5;4;5;5;5;3;4;5;5;5;5;5;4;4;4;5;4;5;5;5;4;4;5;5;5;5;5;4;5;4;5;3;5;5;5;4;4;5;5
33;8/12/2021 21:37:55;Consultor;Pequena (até 99 funcionários);Acima de 5 anos;Maior que 2 e inferior a 5 anos;Ensino superior completo;Entre 31 e 40 anos;Masculino;5;4;4;5;5;4;4;4;5;5;5;3;4;4;5;5;4;5;4;4;4;3;4;4;5;5;3;4;4;5;4;3;5;4;4;4;5;3;5;5;5;3;4;4;5
34;8/12/2021 23:33:54;Analista;Pequena (até 99 funcionários);Igual ou inferior a 1 ano;Acima de 5 anos;Ensino superior completo;Entre 41 e 50 anos;Masculino;5;5;5;5;5;5;5;5;5;1;5;5;5;5;3;5;4;5;5;5;5;5;2;4;4;5;5;5;5;5;2;2;5;5;2;5;2;1;5;4;4;5;5;5;5
35;8/13/2021 9:05:13;Consultor;Grande (acima de 500 funcionários);Igual ou inferior a 1 ano;Igual ou inferior a 2 anos;Ensino superior completo;Entre 21 e 30 anos;Feminino;3;5;5;5;5;5;2;5;5;5;5;2;4;3;4;3;5;5;5;5;5;2;4;5;5;5;3;4;3;4;2;5;5;5;5;5;4;3;3;5;3;4;5;3;4
36;8/13/2021 9:15:43;Consultor;Pequena (até 99 funcionários);Igual ou inferior a 1 ano;Acima de 5 anos;Ensino superior incompleto;Entre 41 e 50 anos;Masculino;3;5;5;5;5;4;3;3;5;5;5;3;5;5;5;3;5;5;5;5;3;4;3;5;5;5;4;5;4;5;3;5;5;5;5;4;4;4;5;5;5;3;4;4;5
37;8/13/2021 9:21:52;Consultor;Pequena (até 99 funcionários);Maior que 2 e inferior a 5 anos;Maior que 2 e inferior a 5 anos;Ensino superior completo;Entre 21 e 30 anos;Feminino;5;5;5;5;5;5;4;4;5;5;5;4;4;4;5;4;5;5;5;5;5;4;4;4;5;4;4;4;4;5;3;3;3;4;4;3;4;3;3;3;4;4;3;3;3
38;8/13/2021 14:05:07;Coordenador;Pequena (até 99 funcionários);Acima de 5 anos;Acima de 5 anos;Ensino superior completo;Entre 31 e 40 anos;Feminino;5;5;5;5;5;5;5;5;5;1;5;1;1;2;5;5;5;5;5;5;5;5;5;3;5;3;5;5;5;5;5;4;5;5;5;5;5;5;5;4;2;5;4;1;3
39;8/13/2021 21:28:25;Consultor;Grande (acima de 500 funcionários);Maior que 2 e inferior a 5 anos;Maior que 2 e inferior a 5 anos;Ensino superior incompleto;Entre 31 e 40 anos;Masculino;5;5;5;4;5;3;4;5;5;5;4;3;3;4;5;3;5;5;5;4;3;4;4;5;5;5;2;3;4;5;3;4;5;5;5;3;2;1;5;1;5;2;5;1;3
40;8/13/2021 23:02:16;Gerente;Pequena (até 99 funcionários);Acima de 5 anos;Acima de 5 anos;Pós-graduação completo;Entre 31 e 40 anos;Masculino;4;4;5;4;4;5;4;3;5;4;5;4;5;4;3;5;4;4;5;4;5;4;4;3;5;5;4;5;5;4;5;3;3;4;4;5;3;3;3;4;4;3;5;5;4
41;8/14/2021 20:22:28;Consultor;Grande (acima de 500 funcionários);Acima de 5 anos;Acima de 5 anos;Ensino superior completo;Entre 31 e 40 anos;Masculino;5;5;5;5;5;5;5;5;5;5;5;2;3;3;5;5;5;5;5;5;5;5;5;5;5;5;2;2;3;5;3;2;3;3;3;4;2;5;2;4;3;2;4;3;3
42;8/15/2021 22:53:27;Gerente;Pequena (até 99 funcionários);Acima de 5 anos;Maior que 2 e inferior a 5 anos;Ensino superior completo;Entre 21 e 30 anos;Masculino;5;5;5;4;5;3;3;5;5;5;4;4;3;3;3;5;4;5;4;5;5;5;4;4;5;5;5;3;3;3;4;4;5;3;3;3;3;4;4;5;5;4;3;4;5
43;8/17/2021 9:53:22;Consultor;Pequena (até 99 funcionários);Maior que 2 e inferior a 5 anos;Acima de 5 anos;Pós-graduação completo;Entre 31 e 40 anos;Feminino;4;4;4;4;4;4;4;4;3;5;4;3;4;3;4;4;4;3;4;4;3;4;4;3;5;3;3;3;4;4;3;4;3;4;4;3;4;4;3;5;3;3;4;4;4
44;8/17/2021 10:04:41;Consultor;Grande (acima de 500 funcionários);Maior que 2 e inferior a 5 anos;Maior que 2 e inferior a 5 anos;Ensino superior completo;Entre 21 e 30 anos;Masculino;3;4;3;3;4;3;3;4;3;5;4;3;4;4;4;4;4;4;4;4;4;3;4;3;4;4;3;4;4;5;5;4;5;5;4;4;3;4;4;2;4;5;4;4;5
45;8/17/2021 16:38:46;Consultor;Media (de 100 até 499 funcionários);Igual ou inferior a 1 ano;Acima de 5 anos;Ensino superior completo;Entre 41 e 50 anos;Masculino;4;5;5;5;5;5;3;5;5;4;5;4;4;4;5;4;3;5;5;5;4;5;4;5;5;5;3;5;4;5;5;2;2;3;1;5;1;5;1;3;4;1;4;1;1
46;8/18/2021 10:34:29;Consultor;Media (de 100 até 499 funcionários);Maior que 2 e inferior a 5 anos;Acima de 5 anos;Ensino superior incompleto;Entre 21 e 30 anos;Masculino;4;5;5;5;4;3;3;4;5;5;5;4;5;3;4;4;5;4;5;5;4;3;4;3;3;3;2;4;3;5;5;5;4;4;4;3;4;1;1;2;2;2;3;2;4
47;8/18/2021 21:10:36;Consultor;Pequena (até 99 funcionários);Acima de 5 anos;Acima de 5 anos;Ensino superior incompleto;Entre 31 e 40 anos;Masculino;5;4;5;5;5;4;3;3;5;5;5;3;3;2;4;4;4;5;5;4;4;3;4;5;5;5;3;4;3;4;5;3;3;4;5;5;4;3;3;4;4;2;3;2;2
48;8/22/2021 11:44:25;Analista;Pequena (até 99 funcionários);Acima de 5 anos;Acima de 5 anos;Ensino superior completo;Entre 21 e 30 anos;Masculino;5;5;5;5;5;5;5;5;4;5;5;3;5;5;4;5;5;5;5;5;5;5;5;4;5;5;3;4;4;5;3;5;5;5;5;5;3;3;1;2;1;1;1;1;3
49;8/25/2021 22:12:21;Consultor;Grande (acima de 500 funcionários);Acima de 5 anos;Acima de 5 anos;Pós-graduação completo;Entre 31 e 40 anos;Masculino;5;4;5;5;5;4;5;4;4;5;5;3;4;5;5;5;3;4;5;4;4;2;2;2;4;5;1;4;4;5;5;5;5;5;5;5;5;1;5;5;4;4;5;4;5
50;8/26/2021 8:02:14;Consultor;Media (de 100 até 499 funcionários);Acima de 5 anos;Acima de 5 anos;Ensino superior incompleto;Entre 31 e 40 anos;Masculino;3;5;5;5;3;5;3;3;4;1;4;1;3;3;4;3;5;5;5;3;5;3;4;5;5;5;3;5;3;5;5;5;5;5;3;5;5;4;3;4;3;3;3;3;5