Profile Name,Title Desc,Selection Type,Choice Segment Id,Has Watched,Source,Utc Timestamp
Alan ,Animals on the Loose: A You vs. Wild Movie,countdown_interrupted,,true,android,2021-02-18 01:22:50
Alan ,Animals on the Loose: A You vs. Wild Movie,countdown_interrupted,,false,android,2021-02-18 01:17:54
Alan ,Animals on the Loose: A You vs. Wild Movie,countdown_interrupted,,false,android,2021-02-18 01:16:02
Alan ,Animals on the Loose: A You vs. Wild Movie,countdown_interrupted,,false,android,2021-02-18 01:11:41
Alan ,Animals on the Loose: A You vs. Wild Movie,countdown_interrupted,,false,android,2021-02-18 01:08:22
Alan ,Animals on the Loose: A You vs. Wild Movie,countdown_interrupted,,false,android,2021-02-18 00:52:44
Alan ,Animals on the Loose: A You vs. Wild Movie,countdown_interrupted,,false,android,2021-02-18 00:49:53
Alan ,Animals on the Loose: A You vs. Wild Movie,countdown_interrupted,,false,android,2021-02-18 00:48:44
Alan ,Animals on the Loose: A You vs. Wild Movie,countdown_interrupted,,false,android,2021-02-18 00:45:57
Alan ,Animals on the Loose: A You vs. Wild Movie,countdown_interrupted,,false,android,2021-02-18 00:43:40
Alan ,Animals on the Loose: A You vs. Wild Movie,countdown_interrupted,,false,android,2021-02-18 00:40:34
Alan ,Animals on the Loose: A You vs. Wild Movie,countdown_interrupted,,false,android,2021-02-18 00:38:10
Alan ,"You vs. Wild: Season 1: ""Searching for a Saint Bernard""",countdown_interrupted,Atravessar,false,tvui,2019-05-13 01:55:50
Alan ,"You vs. Wild: Season 1: ""Searching for a Saint Bernard""",countdown_interrupted,Esquiar,false,tvui,2019-05-13 01:53:04
Alan ,"You vs. Wild: Season 1: ""Searching for a Saint Bernard""",countdown_complete,Esquiar,false,tvui,2019-05-13 01:52:38
Alan ,"You vs. Wild: Season 1: ""Operation Jungle Rescue, Pt. 2""",countdown_interrupted,Corda,true,tvui,2019-05-13 01:46:57
Alan ,"You vs. Wild: Season 1: ""Operation Jungle Rescue, Pt. 2""",countdown_complete,Caverna,true,tvui,2019-05-13 01:44:17
Alan ,"You vs. Wild: Season 1: ""Operation Jungle Rescue, Pt. 2""",countdown_interrupted,Pesca com lança,true,tvui,2019-05-13 01:39:12
Alan ,"You vs. Wild: Season 1: ""Operation Jungle Rescue, Pt. 2""",countdown_interrupted,Fazer rapel,true,tvui,2019-05-13 01:36:14
Alan ,"You vs. Wild: Season 1: ""Operation Jungle Rescue, Pt. 2""",countdown_complete,Caverna,true,tvui,2019-04-30 02:24:22
Alan ,"You vs. Wild: Season 1: ""Operation Jungle Rescue, Pt. 2""",countdown_complete,Árvore,false,tvui,2019-04-30 02:20:03
Alan ,"You vs. Wild: Season 1: ""Operation Jungle Rescue, Pt. 2""",countdown_complete,Pesca com lança,false,tvui,2019-04-30 02:14:52
Alan ,"You vs. Wild: Season 1: ""Operation Jungle Rescue, Pt. 2""",countdown_complete,Fazer rapel,false,tvui,2019-04-30 02:11:32
Alan ,"You vs. Wild: Season 1: ""Operation Jungle Rescue, Pt. 2""",countdown_complete,Fazer rapel,false,tvui,2019-04-30 02:11:13
Alan ,"You vs. Wild: Season 1: ""Operation Jungle Rescue, Pt. 1""",countdown_complete,Atravessar no tronco,false,tvui,2019-04-30 02:02:35
Alan ,"You vs. Wild: Season 1: ""Operation Jungle Rescue, Pt. 1""",countdown_complete,Subir na árvore,false,tvui,2019-04-30 01:59:09
Alan ,"You vs. Wild: Season 1: ""Operation Jungle Rescue, Pt. 1""",countdown_complete,Usar facão,false,tvui,2019-04-30 01:56:01
Alan ,"You vs. Wild: Season 1: ""Operation Jungle Rescue, Pt. 1""",countdown_complete,Gancho,false,tvui,2019-04-30 01:53:30
Alan ,"You vs. Wild: Season 1: ""Operation Jungle Rescue, Pt. 1""",countdown_complete,Gancho,false,tvui,2019-04-30 01:53:02
Alan ,"You vs. Wild: Season 1: ""Myth of the Abandoned Mine""",countdown_complete,Explodir porta,false,tvui,2019-04-30 01:47:35
Alan ,"You vs. Wild: Season 1: ""Myth of the Abandoned Mine""",countdown_complete,Fazer rapel,false,tvui,2019-04-30 01:44:53
Alan ,"You vs. Wild: Season 1: ""Myth of the Abandoned Mine""",countdown_complete,Com corrente de ar,false,tvui,2019-04-30 01:43:24
Alan ,"You vs. Wild: Season 1: ""Myth of the Abandoned Mine""",countdown_complete,Bétula,false,tvui,2019-04-30 01:40:18
Alan ,"You vs. Wild: Season 1: ""Myth of the Abandoned Mine""",countdown_complete,Entrar na mina,false,tvui,2019-04-30 01:39:31
Alan ,"You vs. Wild: Season 1: ""Myth of the Abandoned Mine""",countdown_interrupted,Fazer fogueira,false,tvui,2019-04-30 01:36:03
Alan ,"You vs. Wild: Season 1: ""Myth of the Abandoned Mine""",countdown_interrupted,Mortal para frente,false,tvui,2019-04-30 01:34:18
Alan ,"You vs. Wild: Season 1: ""Land of the Dragons""",countdown_interrupted,Lutar,false,tvui,2019-04-28 16:55:14
Alan ,"You vs. Wild: Season 1: ""Land of the Dragons""",countdown_interrupted,Pular,false,tvui,2019-04-28 16:53:48
Alan ,"You vs. Wild: Season 1: ""Land of the Dragons""",countdown_interrupted,Sair da caverna,false,android,2019-04-28 02:37:04
Alan ,"You vs. Wild: Season 1: ""Land of the Dragons""",countdown_interrupted,Seguir rastros,false,android,2019-04-28 02:35:10
Alan ,"You vs. Wild: Season 1: ""Land of the Dragons""",countdown_complete,Caverna,false,android,2019-04-28 02:20:01
Alan ,"You vs. Wild: Season 1: ""Land of the Dragons""",countdown_interrupted,Flutuar,false,android,2019-04-28 02:16:50
Alan ,"You vs. Wild: Season 1: ""Land of the Dragons""",countdown_interrupted,Flores de Tojo,false,android,2019-04-28 02:14:17
Alan ,"You vs. Wild: Season 1: ""Land of the Dragons""",countdown_interrupted,Ovos crus,true,android,2019-04-19 17:57:55
Alan ,"You vs. Wild: Season 1: ""Land of the Dragons""",countdown_interrupted,Ovos crus,false,android,2019-04-19 17:55:30
Alan ,"You vs. Wild: Season 1: ""Land of the Dragons""",countdown_interrupted,Subir penhasco,false,android,2019-04-19 17:53:56
Alan ,"You vs. Wild: Season 1: ""A Venomous Adventure, Pt. 2""",countdown_interrupted,Cabeça,false,android,2019-04-17 03:08:06
Alan ,"You vs. Wild: Season 1: ""A Venomous Adventure, Pt. 2""",countdown_interrupted,Túnel de teia,false,android,2019-04-17 03:01:40
Alan ,"You vs. Wild: Season 1: ""A Venomous Adventure, Pt. 2""",countdown_interrupted,Mina,false,android,2019-04-17 02:58:23
Alan ,"You vs. Wild: Season 1: ""A Venomous Adventure, Pt. 1""",countdown_interrupted,Seguir rastros,false,android,2019-04-16 16:15:23
Alan ,"You vs. Wild: Season 1: ""A Venomous Adventure, Pt. 1""",countdown_interrupted,Cânion estreito,false,android,2019-04-16 16:13:05
Alan ,"You vs. Wild: Season 1: ""A Venomous Adventure, Pt. 1""",countdown_interrupted,Fazer rapel,false,android,2019-04-16 16:08:34
Alan ,"You vs. Wild: Season 1: ""A Venomous Adventure, Pt. 1""",countdown_interrupted,Helicóptero,false,android,2019-04-16 16:04:54
Alan ,"You vs. Wild: Season 1: ""Lost on Snow Mountain""",countdown_interrupted,Fogueira,false,android,2019-04-16 15:59:48
Alan ,"You vs. Wild: Season 1: ""Lost on Snow Mountain""",countdown_interrupted,Pesca no gelo,false,android,2019-04-15 16:11:47
Alan ,"You vs. Wild: Season 1: ""Lost on Snow Mountain""",countdown_interrupted,Iglu,false,android,2019-04-15 16:06:32
Alan ,"You vs. Wild: Season 1: ""Lost on Snow Mountain""",countdown_interrupted,Estática,false,android,2019-04-15 16:04:23
Alan ,"You vs. Wild: Season 1: ""Searching for a Saint Bernard""",countdown_interrupted,Fazer rapel,false,android,2019-04-15 15:58:08
Alan ,"You vs. Wild: Season 1: ""Searching for a Saint Bernard""",countdown_interrupted,Deslizar,false,android,2019-04-15 15:55:56
Alan ,"You vs. Wild: Season 1: ""Searching for a Saint Bernard""",countdown_interrupted,Caverna de gelo,false,android,2019-04-15 15:49:13
Alan ,"You vs. Wild: Season 1: ""Searching for a Saint Bernard""",countdown_interrupted,Fezes de urso,false,android,2019-04-15 15:45:58
Alan ,"You vs. Wild: Season 1: ""Searching for a Saint Bernard""",countdown_interrupted,Sistematicamente,false,android,2019-04-15 15:42:01
Alan ,"You vs. Wild: Season 1: ""Searching for a Saint Bernard""",countdown_interrupted,Rastejar,false,android,2019-04-15 15:37:47
Alan ,"You vs. Wild: Season 1: ""Searching for a Saint Bernard""",countdown_interrupted,Caminhar,false,android,2019-04-15 01:32:20
Alan ,"You vs. Wild: Season 1: ""Searching for a Saint Bernard""",countdown_interrupted,Parapente,false,android,2019-04-15 01:27:40
Alan ,"You vs. Wild: Season 1: ""Operation Jungle Rescue, Pt. 2""",countdown_interrupted,Corda,false,android,2019-04-15 01:22:19
Alan ,"You vs. Wild: Season 1: ""Operation Jungle Rescue, Pt. 2""",countdown_interrupted,Rocha,false,android,2019-04-15 01:20:40
Alan ,"You vs. Wild: Season 1: ""Operation Jungle Rescue, Pt. 2""",countdown_interrupted,Caverna,false,android,2019-04-15 01:18:11
Alan ,"You vs. Wild: Season 1: ""Operation Jungle Rescue, Pt. 2""",countdown_interrupted,Lama,false,android,2019-04-15 01:13:30
Alan ,"You vs. Wild: Season 1: ""Operation Jungle Rescue, Pt. 2""",countdown_interrupted,Capim,false,android,2019-04-15 01:11:02
Alan ,"You vs. Wild: Season 1: ""Operation Jungle Rescue, Pt. 2""",countdown_interrupted,Manguezal,false,android,2019-04-15 01:08:28
Alan ,"You vs. Wild: Season 1: ""Operation Jungle Rescue, Pt. 2""",countdown_interrupted,Corda,false,android,2019-04-15 01:04:10
Alan ,"You vs. Wild: Season 1: ""Operation Jungle Rescue, Pt. 1""",countdown_interrupted,Usar cipó,false,android,2019-04-15 00:58:30
Alan ,"You vs. Wild: Season 1: ""Operation Jungle Rescue, Pt. 1""",countdown_interrupted,Cupins,false,android,2019-04-15 00:55:47
Alan ,"You vs. Wild: Season 1: ""Operation Jungle Rescue, Pt. 1""",countdown_interrupted,Seguir o rio,false,android,2019-04-15 00:51:49
Alan ,"You vs. Wild: Season 1: ""Operation Jungle Rescue, Pt. 1""",countdown_interrupted,Estilingue,false,android,2019-04-15 00:49:25
Alan ,Black Mirror: Bandersnatch,countdown_complete,,true,android,2019-01-17 01:49:31
Alan ,Black Mirror: Bandersnatch,countdown_interrupted,,true,android,2019-01-17 01:48:49
Alan ,Black Mirror: Bandersnatch,countdown_interrupted,,false,android,2019-01-17 01:48:11
Alan ,Black Mirror: Bandersnatch,countdown_interrupted,,false,android,2019-01-17 01:45:42
Alan ,Black Mirror: Bandersnatch,countdown_interrupted,MATAR O PAI,false,android,2019-01-17 01:45:22
Alan ,Black Mirror: Bandersnatch,countdown_complete,MATAR O PAI,false,android,2019-01-17 01:44:43
Alan ,Black Mirror: Bandersnatch,countdown_interrupted,,false,android,2019-01-17 01:44:22
Alan ,Black Mirror: Bandersnatch,countdown_interrupted,,false,android,2019-01-17 01:44:00
Alan ,Black Mirror: Bandersnatch,countdown_interrupted,,false,android,2019-01-17 01:43:12
Alan ,Black Mirror: Bandersnatch,countdown_interrupted,BATER NA MESA,false,android,2019-01-17 01:42:49
Alan ,Black Mirror: Bandersnatch,countdown_interrupted,VOLTAR,true,android,2019-01-17 01:42:42
Alan ,Black Mirror: Bandersnatch,countdown_complete,BATER NA MESA,false,android,2019-01-17 01:42:10
Alan ,Black Mirror: Bandersnatch,countdown_interrupted,VOLTAR,false,android,2019-01-17 01:42:02
Alan ,Black Mirror: Bandersnatch,countdown_interrupted,DESTRUIR O COMPUTADOR,false,android,2019-01-17 01:41:28
Alan ,Black Mirror: Bandersnatch,countdown_interrupted,,false,android,2019-01-17 01:40:46
Alan ,Black Mirror: Bandersnatch,countdown_interrupted,,true,android,2019-01-17 01:40:35
Alan ,Black Mirror: Bandersnatch,countdown_interrupted,TOMAR,true,android,2019-01-17 01:39:34
Alan ,Black Mirror: Bandersnatch,countdown_interrupted,,false,android,2019-01-17 01:39:21
Alan ,Black Mirror: Bandersnatch,countdown_interrupted,TOMAR,false,android,2019-01-17 01:38:33
Alan ,Black Mirror: Bandersnatch,countdown_interrupted,PUXAR A ORELHA,false,android,2019-01-17 01:37:52
Alan ,Black Mirror: Bandersnatch,countdown_interrupted,CONSULTAR A DRA. HAYNES,false,android,2019-01-17 01:37:29
Alan ,Black Mirror: Bandersnatch,countdown_complete,STEFAN,false,android,2019-01-17 01:35:52
Alan ,Black Mirror: Bandersnatch,countdown_complete,SIM,false,android,2019-01-17 01:35:03
Alan ,Black Mirror: Bandersnatch,countdown_complete,,false,android,2019-01-17 01:34:28
Alan ,Black Mirror: Bandersnatch,countdown_interrupted,GRITAR COM O PAI,false,android,2019-01-17 01:33:59
Alan ,Black Mirror: Bandersnatch,countdown_complete,,false,android,2019-01-17 01:33:09
Alan ,Black Mirror: Bandersnatch,countdown_interrupted,,false,android,2019-01-17 01:33:05
Alan ,Black Mirror: Bandersnatch,countdown_complete,GRITAR COM O PAI,false,android,2019-01-17 01:32:29
Alan ,Black Mirror: Bandersnatch,countdown_interrupted,,false,android,2019-01-17 01:32:05
Alan ,Black Mirror: Bandersnatch,countdown_interrupted,FALAR SOBRE A MÃE,false,android,2019-01-17 01:31:40
Alan ,Black Mirror: Bandersnatch,countdown_complete,GRITAR COM O PAI,false,android,2019-01-17 01:30:54
Alan ,Black Mirror: Bandersnatch,countdown_interrupted,VOLTAR,false,android,2019-01-17 01:30:48
Alan ,Black Mirror: Bandersnatch,countdown_interrupted,JOGAR CHÁ NO COMPUTADOR,false,android,2019-01-17 01:30:21
Alan ,Black Mirror: Bandersnatch,countdown_interrupted,PHAEDRA,false,android,2019-01-17 01:29:14
Alan ,Black Mirror: Bandersnatch,countdown_complete,,false,android,2019-01-17 01:28:28
Alan ,Black Mirror: Bandersnatch,countdown_interrupted,NÃO,false,android,2019-01-17 01:28:03
Alan ,Black Mirror: Bandersnatch,countdown_interrupted,,false,android,2019-01-17 01:25:58
Alan ,Black Mirror: Bandersnatch,countdown_interrupted,THOMPSON TWINS,false,android,2019-01-17 01:23:10
Alan ,Black Mirror: Bandersnatch,countdown_interrupted,SUGAR PUFFS,false,android,2019-01-17 01:22:18
Alan ,Black Mirror: Bandersnatch,countdown_interrupted,,false,android,2019-01-01 23:38:11
Alan ,Black Mirror: Bandersnatch,countdown_interrupted,,false,android,2019-01-01 23:36:11
Alan ,Black Mirror: Bandersnatch,countdown_interrupted,SIM,false,android,2019-01-01 23:30:51
Alan ,Black Mirror: Bandersnatch,countdown_interrupted,TOY,false,android,2019-01-01 23:28:54
Alan ,Black Mirror: Bandersnatch,countdown_interrupted,PEGAR O COELHO DO PAI,false,android,2019-01-01 23:26:31
Alan ,Black Mirror: Bandersnatch,countdown_interrupted,DESISTIR,false,android,2019-01-01 23:25:54
Alan ,Black Mirror: Bandersnatch,countdown_interrupted,,false,android,2019-01-01 23:25:00
Alan ,Black Mirror: Bandersnatch,countdown_interrupted,CHUTAR O SACO,false,android,2019-01-01 23:24:05
Alan ,Black Mirror: Bandersnatch,countdown_interrupted,LUTAR COM ELA,false,android,2019-01-01 23:23:33
Alan ,Black Mirror: Bandersnatch,countdown_interrupted,,false,android,2019-01-01 23:23:12
Alan ,Black Mirror: Bandersnatch,countdown_interrupted,CONTAR MAIS,false,android,2019-01-01 23:20:53
Alan ,Black Mirror: Bandersnatch,countdown_interrupted,CONTAR MAIS,false,android,2019-01-01 23:20:30
Alan ,Black Mirror: Bandersnatch,countdown_interrupted,O LOGO 'N' DA NETFLIX,false,android,2019-01-01 23:20:05
Alan ,Black Mirror: Bandersnatch,countdown_interrupted,,false,android,2019-01-01 23:19:21
Alan ,Black Mirror: Bandersnatch,countdown_interrupted,,false,android,2019-01-01 23:16:46
Alan ,Black Mirror: Bandersnatch,countdown_interrupted,BATER NA MESA,false,android,2019-01-01 23:15:48
Alan ,Black Mirror: Bandersnatch,countdown_interrupted,,false,android,2019-01-01 23:11:23
Alan ,Black Mirror: Bandersnatch,countdown_interrupted,ROER AS UNHAS,false,android,2019-01-01 23:09:46
Alan ,Black Mirror: Bandersnatch,countdown_interrupted,COLIN,false,android,2019-01-01 23:07:34
Alan ,Black Mirror: Bandersnatch,countdown_complete,SIM,false,android,2019-01-01 23:03:03
Alan ,Black Mirror: Bandersnatch,countdown_interrupted,,false,android,2019-01-01 22:59:46
Alan ,Black Mirror: Bandersnatch,countdown_interrupted,GRITAR COM O PAI,false,android,2019-01-01 22:58:16
Alan ,Black Mirror: Bandersnatch,countdown_interrupted,THE BERMUDA TRIANGLE,false,android,2019-01-01 22:55:07
Alan ,Black Mirror: Bandersnatch,countdown_interrupted,,false,android,2019-01-01 22:52:47
Alan ,Black Mirror: Bandersnatch,countdown_interrupted,,false,android,2019-01-01 22:51:47
Alan ,Black Mirror: Bandersnatch,countdown_interrupted,NÃO,false,android,2019-01-01 22:51:20
Alan ,Black Mirror: Bandersnatch,countdown_complete,,false,android,2019-01-01 22:45:53
Alan ,Black Mirror: Bandersnatch,countdown_interrupted,,false,android,2019-01-01 22:41:43
Alan ,Black Mirror: Bandersnatch,countdown_interrupted,AGORA 2,false,android,2019-01-01 22:37:07
Alan ,Black Mirror: Bandersnatch,countdown_interrupted,SUCRILHOS,false,android,2019-01-01 22:36:12
Ale ,"You vs. Wild: Season 1: ""Myth of the Abandoned Mine""",countdown_interrupted,Cabo aéreo,false,www,2019-05-08 02:07:39
Ale ,"You vs. Wild: Season 1: ""Myth of the Abandoned Mine""",countdown_interrupted,Pinheiro,false,www,2019-05-08 02:05:28
Ale ,"You vs. Wild: Season 1: ""Myth of the Abandoned Mine""",countdown_interrupted,Atrair ovelha,false,www,2019-05-08 02:00:28
Ale ,"You vs. Wild: Season 1: ""Myth of the Abandoned Mine""",countdown_interrupted,Prosseguir,false,www,2019-05-08 01:58:46
Ale ,"You vs. Wild: Season 1: ""Myth of the Abandoned Mine""",countdown_interrupted,Mortal para trás,false,www,2019-05-08 01:56:59
Ale ,"You vs. Wild: Season 1: ""Land of the Dragons""",countdown_interrupted,Lutar,false,www,2019-05-08 01:53:33
Ale ,"You vs. Wild: Season 1: ""Land of the Dragons""",countdown_interrupted,Pular,false,www,2019-05-08 01:52:12
Ale ,"You vs. Wild: Season 1: ""Land of the Dragons""",countdown_interrupted,Sair da caverna,false,www,2019-05-08 01:48:38
Ale ,"You vs. Wild: Season 1: ""Land of the Dragons""",countdown_interrupted,Caverna,false,www,2019-05-08 01:46:38
Ale ,"You vs. Wild: Season 1: ""Land of the Dragons""",countdown_interrupted,Flutuar,false,www,2019-05-08 01:43:31
