Profile Name,Esn,Device Type,Acct First Playback Date,Acct Last Playback Date,Acct First Playback Date For User Generated Plays,Acct Last Playback Date For User Generated Plays,Profile First Playback Date,Profile Last Playback Date,Profile First Playback Date For User Generated Plays,Profile Last Playback Date For User Generated Plays,Deactivation Time
Alan ,NFCDOP-01-JU6Q32FVRJW2CRH6LMG0QY8G8CC36C,Netflix Opera Other,,,,,,,,,
Casa,NFCDOP-01-JU6Q32FVRJW2CRH6LMG0QY8G8CC36C,Netflix Opera Other,,,,,,,,,
Ale ,NFCDOP-01-JU6Q32FVRJW2CRH6LMG0QY8G8CC36C,Netflix Opera Other,,,,,,,,,
Ju,NFCDOP-01-JU6Q32FVRJW2CRH6LMG0QY8G8CC36C,Netflix Opera Other,,,,,,,,,
Adilan,NFCDOP-01-JU6Q32FVRJW2CRH6LMG0QY8G8CC36C,Netflix Opera Other,,,,,,,,,
Ale ,NFANDROID1-PRV-P-SAMSUSM-A525M-19970-B3D1369318D48F6229A099ADF48825DC6F6FFE9282F4A2F1870BBB81DEC99209,DefaultWidevineAndroidPhone,2022-09-29T21:06:02.768Z,2022-12-21T16:53:43.072Z,2022-09-29T21:06:02.768Z,2022-12-21T16:53:43.072Z,2022-09-29T21:06:02.768Z,2022-12-21T16:53:43.072Z,2022-09-29T21:06:02.768Z,2022-12-21T16:53:43.072Z,
Ale ,NFUWA-001-33D1F93B05FF2239249B53D3879EB68EE59C0099DD14A75E0EB5FF7C31902F8B,Netflix Windows App - Cadmium Windows Mobile,2022-06-05T01:08:48.059Z,2022-12-21T04:57:22.988Z,2022-06-05T01:08:48.059Z,2022-12-21T04:57:22.988Z,2022-08-19T03:30:42.407Z,2022-12-21T04:57:22.988Z,2022-08-19T03:37:49.380Z,2022-12-21T04:57:22.988Z,
Ju,PHTV14OPM1-31-03-15-01-0000000000000188278,Philips 2014 MT5580 based TVs Smart TV,2019-12-18T14:29:34.028Z,2022-12-20T19:31:17.548Z,2019-12-18T14:29:34.028Z,2022-12-20T19:31:17.548Z,2019-12-18T14:29:34.028Z,2022-12-20T19:31:17.548Z,2019-12-18T14:29:34.028Z,2022-12-20T19:31:17.548Z,
Adilan,SSTV-KS20-0000000000000014265189,Samsung CE 2020 Kant-S2 DTV Smart TV,2022-09-24T15:53:41.468Z,2022-12-20T17:47:21.854Z,2022-09-24T15:53:41.468Z,2022-12-20T17:47:21.854Z,2022-09-24T15:53:41.468Z,2022-12-20T17:47:21.854Z,2022-09-24T15:53:41.468Z,2022-12-20T17:47:21.854Z,
Casa,PCTV000163==295879E2245572FA34FF,Panasonic 2016 sLD8a TV Smart TV,2020-12-28T02:48:11.343Z,2022-12-13T01:15:38.024Z,2020-12-28T02:48:11.343Z,2022-12-13T01:15:38.024Z,,,,,
Ale ,PCTV000163==295879E2245572FA34FF,Panasonic 2016 sLD8a TV Smart TV,2020-12-28T02:48:11.343Z,2022-12-13T01:15:38.024Z,2020-12-28T02:48:11.343Z,2022-12-13T01:15:38.024Z,,,,,
Ju,PCTV000163==295879E2245572FA34FF,Panasonic 2016 sLD8a TV Smart TV,2020-12-28T02:48:11.343Z,2022-12-13T01:15:38.024Z,2020-12-28T02:48:11.343Z,2022-12-13T01:15:38.024Z,,,,,
Adilan,PCTV000163==295879E2245572FA34FF,Panasonic 2016 sLD8a TV Smart TV,2020-12-28T02:48:11.343Z,2022-12-13T01:15:38.024Z,2020-12-28T02:48:11.343Z,2022-12-13T01:15:38.024Z,,,,,
Alan ,NFPS5-001-F34YVTWT2QDAA71LJC8Q21TRJH,Sony PS5,2022-12-13T03:32:45.771Z,2022-12-13T03:34:55.879Z,2022-12-13T03:34:55.879Z,2022-12-13T03:34:55.879Z,2022-12-13T03:32:45.771Z,2022-12-13T03:34:55.879Z,2022-12-13T03:34:55.879Z,2022-12-13T03:34:55.879Z,
Casa,NFPS5-001-F34YVTWT2QDAA71LJC8Q21TRJH,Sony PS5,2022-12-13T03:32:45.771Z,2022-12-13T03:34:55.879Z,2022-12-13T03:34:55.879Z,2022-12-13T03:34:55.879Z,,,,,
Ale ,NFPS5-001-F34YVTWT2QDAA71LJC8Q21TRJH,Sony PS5,2022-12-13T03:32:45.771Z,2022-12-13T03:34:55.879Z,2022-12-13T03:34:55.879Z,2022-12-13T03:34:55.879Z,,,,,
Ju,NFPS5-001-F34YVTWT2QDAA71LJC8Q21TRJH,Sony PS5,2022-12-13T03:32:45.771Z,2022-12-13T03:34:55.879Z,2022-12-13T03:34:55.879Z,2022-12-13T03:34:55.879Z,,,,,
Adilan,NFPS5-001-F34YVTWT2QDAA71LJC8Q21TRJH,Sony PS5,2022-12-13T03:32:45.771Z,2022-12-13T03:34:55.879Z,2022-12-13T03:34:55.879Z,2022-12-13T03:34:55.879Z,,,,,
Alan ,PCTV000163==295879E2245572FA34FF,Panasonic 2016 sLD8a TV Smart TV,2020-12-28T02:48:11.343Z,2022-12-13T01:15:38.024Z,2020-12-28T02:48:11.343Z,2022-12-13T01:15:38.024Z,2020-12-28T02:48:11.343Z,2022-12-13T01:15:38.024Z,2020-12-28T02:48:11.343Z,2022-12-13T01:15:38.024Z,
Casa,NFANDROID1-PRV-P-L3-LGE==LG-M320-4445-D8EE53806DFCE42E13F9948FEF70185FC3615FDDBF07A36E935B0E36D4D4C1BC,Android DefaultWidevineL3Phone Android Phone,2022-12-05T02:30:35.675Z,2022-12-05T02:40:18.483Z,2022-12-05T02:30:35.675Z,2022-12-05T02:40:18.483Z,,,,,
Ale ,NFANDROID1-PRV-P-L3-LGE==LG-M320-4445-D8EE53806DFCE42E13F9948FEF70185FC3615FDDBF07A36E935B0E36D4D4C1BC,Android DefaultWidevineL3Phone Android Phone,2022-12-05T02:30:35.675Z,2022-12-05T02:40:18.483Z,2022-12-05T02:30:35.675Z,2022-12-05T02:40:18.483Z,,,,,
Ju,NFANDROID1-PRV-P-L3-LGE==LG-M320-4445-D8EE53806DFCE42E13F9948FEF70185FC3615FDDBF07A36E935B0E36D4D4C1BC,Android DefaultWidevineL3Phone Android Phone,2022-12-05T02:30:35.675Z,2022-12-05T02:40:18.483Z,2022-12-05T02:30:35.675Z,2022-12-05T02:40:18.483Z,,,,,
Adilan,NFANDROID1-PRV-P-L3-LGE==LG-M320-4445-D8EE53806DFCE42E13F9948FEF70185FC3615FDDBF07A36E935B0E36D4D4C1BC,Android DefaultWidevineL3Phone Android Phone,2022-12-05T02:30:35.675Z,2022-12-05T02:40:18.483Z,2022-12-05T02:30:35.675Z,2022-12-05T02:40:18.483Z,,,,,
Alan ,NFANDROID1-PRV-P-SAMSUSM-A525M-19970-B3D1369318D48F6229A099ADF48825DC6F6FFE9282F4A2F1870BBB81DEC99209,DefaultWidevineAndroidPhone,2022-09-29T21:06:02.768Z,2022-12-21T16:53:43.072Z,2022-09-29T21:06:02.768Z,2022-12-21T16:53:43.072Z,,,,,
Casa,NFANDROID1-PRV-P-SAMSUSM-A525M-19970-B3D1369318D48F6229A099ADF48825DC6F6FFE9282F4A2F1870BBB81DEC99209,DefaultWidevineAndroidPhone,2022-09-29T21:06:02.768Z,2022-12-21T16:53:43.072Z,2022-09-29T21:06:02.768Z,2022-12-21T16:53:43.072Z,,,,,
Ju,NFANDROID1-PRV-P-SAMSUSM-A525M-19970-B3D1369318D48F6229A099ADF48825DC6F6FFE9282F4A2F1870BBB81DEC99209,DefaultWidevineAndroidPhone,2022-09-29T21:06:02.768Z,2022-12-21T16:53:43.072Z,2022-09-29T21:06:02.768Z,2022-12-21T16:53:43.072Z,,,,,
Adilan,NFANDROID1-PRV-P-SAMSUSM-A525M-19970-B3D1369318D48F6229A099ADF48825DC6F6FFE9282F4A2F1870BBB81DEC99209,DefaultWidevineAndroidPhone,2022-09-29T21:06:02.768Z,2022-12-21T16:53:43.072Z,2022-09-29T21:06:02.768Z,2022-12-21T16:53:43.072Z,,,,,
Ale ,PCTV000163==05A88C1C9A5811C68075,Panasonic 2016 sLD8a TV Smart TV,2020-04-19T02:03:46.768Z,2022-11-15T23:09:06.832Z,2020-04-19T02:03:46.768Z,2022-11-15T23:09:06.832Z,,,,,
Alan ,PCTV000163==05A88C1C9A5811C68075,Panasonic 2016 sLD8a TV Smart TV,2020-04-19T02:03:46.768Z,2022-11-15T23:09:06.832Z,2020-04-19T02:03:46.768Z,2022-11-15T23:09:06.832Z,,,,,
Alan ,NFANDROID1-PRV-P-L3-LGE==LG-M320-4445-D8EE53806DFCE42E13F9948FEF70185FC3615FDDBF07A36E935B0E36D4D4C1BC,Android DefaultWidevineL3Phone Android Phone,2022-12-05T02:30:35.675Z,2022-12-05T02:40:18.483Z,2022-12-05T02:30:35.675Z,2022-12-05T02:40:18.483Z,2022-12-05T02:30:35.675Z,2022-12-05T02:40:18.483Z,2022-12-05T02:30:35.675Z,2022-12-05T02:40:18.483Z,
Alan ,SSTV-KS20-0000000000000014265189,Samsung CE 2020 Kant-S2 DTV Smart TV,2022-09-24T15:53:41.468Z,2022-12-20T17:47:21.854Z,2022-09-24T15:53:41.468Z,2022-12-20T17:47:21.854Z,,,,,
Casa,SSTV-KS20-0000000000000014265189,Samsung CE 2020 Kant-S2 DTV Smart TV,2022-09-24T15:53:41.468Z,2022-12-20T17:47:21.854Z,2022-09-24T15:53:41.468Z,2022-12-20T17:47:21.854Z,,,,,
Ale ,SSTV-KS20-0000000000000014265189,Samsung CE 2020 Kant-S2 DTV Smart TV,2022-09-24T15:53:41.468Z,2022-12-20T17:47:21.854Z,2022-09-24T15:53:41.468Z,2022-12-20T17:47:21.854Z,,,,,
Ju,SSTV-KS20-0000000000000014265189,Samsung CE 2020 Kant-S2 DTV Smart TV,2022-09-24T15:53:41.468Z,2022-12-20T17:47:21.854Z,2022-09-24T15:53:41.468Z,2022-12-20T17:47:21.854Z,,,,,
Ju,PCTV000163==05A88C1C9A5811C68075,Panasonic 2016 sLD8a TV Smart TV,2020-04-19T02:03:46.768Z,2022-11-15T23:09:06.832Z,2020-04-19T02:03:46.768Z,2022-11-15T23:09:06.832Z,2020-04-19T02:03:46.768Z,2022-11-15T23:09:06.832Z,2020-04-19T02:03:46.768Z,2022-11-15T23:09:06.832Z,
Adilan,PCTV000163==05A88C1C9A5811C68075,Panasonic 2016 sLD8a TV Smart TV,2020-04-19T02:03:46.768Z,2022-11-15T23:09:06.832Z,2020-04-19T02:03:46.768Z,2022-11-15T23:09:06.832Z,2020-12-29T18:51:50.680Z,2022-11-11T10:05:50.795Z,2020-12-29T18:51:50.680Z,2022-11-11T10:05:50.795Z,
Alan ,NFANDROID1-PRV-P-L3-LGE==LG-M320-4445-0005941B68EF4A4830F7C18A447ED9A0555F2ACEDB3627D7BA9423F50B3498046,Android DefaultWidevineL3Phone Android Phone,,,,,,,,,
Casa,NFANDROID1-PRV-P-L3-LGE==LG-M320-4445-0005941B68EF4A4830F7C18A447ED9A0555F2ACEDB3627D7BA9423F50B3498046,Android DefaultWidevineL3Phone Android Phone,,,,,,,,,
Ale ,NFANDROID1-PRV-P-L3-LGE==LG-M320-4445-0005941B68EF4A4830F7C18A447ED9A0555F2ACEDB3627D7BA9423F50B3498046,Android DefaultWidevineL3Phone Android Phone,,,,,,,,,
Ju,NFANDROID1-PRV-P-L3-LGE==LG-M320-4445-0005941B68EF4A4830F7C18A447ED9A0555F2ACEDB3627D7BA9423F50B3498046,Android DefaultWidevineL3Phone Android Phone,,,,,,,,,
Adilan,NFANDROID1-PRV-P-L3-LGE==LG-M320-4445-0005941B68EF4A4830F7C18A447ED9A0555F2ACEDB3627D7BA9423F50B3498046,Android DefaultWidevineL3Phone Android Phone,,,,,,,,,
Alan ,NFCDCH-AP-JPLG0X7NJGXVP4QG7QXQ6W36JA1FWN,Netflix Android Phone-Chrome Android Phone,,,,,,,,,
Casa,NFCDCH-AP-JPLG0X7NJGXVP4QG7QXQ6W36JA1FWN,Netflix Android Phone-Chrome Android Phone,,,,,,,,,
Ale ,NFCDCH-AP-JPLG0X7NJGXVP4QG7QXQ6W36JA1FWN,Netflix Android Phone-Chrome Android Phone,,,,,,,,,
Ju,NFCDCH-AP-JPLG0X7NJGXVP4QG7QXQ6W36JA1FWN,Netflix Android Phone-Chrome Android Phone,,,,,,,,,
Adilan,NFCDCH-AP-JPLG0X7NJGXVP4QG7QXQ6W36JA1FWN,Netflix Android Phone-Chrome Android Phone,,,,,,,,,
Ale ,NFCDCH-02-JNZKQV84F44WX63TELLQ8TY2N7QXTT,Chrome PC (Cadmium),2022-10-31T13:19:22.207Z,2022-11-01T15:12:50.552Z,2022-10-31T13:19:22.207Z,2022-10-31T16:15:18.612Z,2022-10-31T13:19:22.207Z,2022-11-01T15:12:50.552Z,2022-10-31T13:19:22.207Z,2022-10-31T16:15:18.612Z,
Casa,NFCDCH-02-JNZKQV84F44WX63TELLQ8TY2N7QXTT,Chrome PC (Cadmium),2022-10-31T13:19:22.207Z,2022-11-01T15:12:50.552Z,2022-10-31T13:19:22.207Z,2022-10-31T16:15:18.612Z,,,,,
Ju,NFCDCH-02-JNZKQV84F44WX63TELLQ8TY2N7QXTT,Chrome PC (Cadmium),2022-10-31T13:19:22.207Z,2022-11-01T15:12:50.552Z,2022-10-31T13:19:22.207Z,2022-10-31T16:15:18.612Z,,,,,
Adilan,NFCDCH-02-JNZKQV84F44WX63TELLQ8TY2N7QXTT,Chrome PC (Cadmium),2022-10-31T13:19:22.207Z,2022-11-01T15:12:50.552Z,2022-10-31T13:19:22.207Z,2022-10-31T16:15:18.612Z,,,,,
Alan ,NFCDCH-02-JNZKQV84F44WX63TELLQ8TY2N7QXTT,Chrome PC (Cadmium),2022-10-31T13:19:22.207Z,2022-11-01T15:12:50.552Z,2022-10-31T13:19:22.207Z,2022-10-31T16:15:18.612Z,,,,,
Casa,PCTV000163==05A88C1C9A5811C68075,Panasonic 2016 sLD8a TV Smart TV,2020-04-19T02:03:46.768Z,2022-11-15T23:09:06.832Z,2020-04-19T02:03:46.768Z,2022-11-15T23:09:06.832Z,2020-07-16T02:46:40.694Z,2022-10-26T23:21:19.511Z,2020-12-23T10:18:28.928Z,2022-10-26T23:21:19.511Z,
Alan ,NFANDROID1-PRV-P-ASUS=ASUS=X00QD-7991-F042D67C9B3F2523F518BE58105572A05F24E61B086BE5EDC354538DE73539EC,DefaultWidevineAndroidPhone,2022-10-05T02:37:29.772Z,2022-10-05T02:43:50.307Z,2022-10-05T02:37:29.772Z,2022-10-05T02:43:50.307Z,2022-10-05T02:37:29.772Z,2022-10-05T02:43:50.307Z,2022-10-05T02:37:29.772Z,2022-10-05T02:43:50.307Z,
Casa,NFANDROID1-PRV-P-ASUS=ASUS=X00QD-7991-F042D67C9B3F2523F518BE58105572A05F24E61B086BE5EDC354538DE73539EC,DefaultWidevineAndroidPhone,2022-10-05T02:37:29.772Z,2022-10-05T02:43:50.307Z,2022-10-05T02:37:29.772Z,2022-10-05T02:43:50.307Z,,,,,
Ale ,NFANDROID1-PRV-P-ASUS=ASUS=X00QD-7991-F042D67C9B3F2523F518BE58105572A05F24E61B086BE5EDC354538DE73539EC,DefaultWidevineAndroidPhone,2022-10-05T02:37:29.772Z,2022-10-05T02:43:50.307Z,2022-10-05T02:37:29.772Z,2022-10-05T02:43:50.307Z,,,,,
Ju,NFANDROID1-PRV-P-ASUS=ASUS=X00QD-7991-F042D67C9B3F2523F518BE58105572A05F24E61B086BE5EDC354538DE73539EC,DefaultWidevineAndroidPhone,2022-10-05T02:37:29.772Z,2022-10-05T02:43:50.307Z,2022-10-05T02:37:29.772Z,2022-10-05T02:43:50.307Z,,,,,
Adilan,NFANDROID1-PRV-P-ASUS=ASUS=X00QD-7991-F042D67C9B3F2523F518BE58105572A05F24E61B086BE5EDC354538DE73539EC,DefaultWidevineAndroidPhone,2022-10-05T02:37:29.772Z,2022-10-05T02:43:50.307Z,2022-10-05T02:37:29.772Z,2022-10-05T02:43:50.307Z,,,,,
Alan ,NFANDROID1-PRV-P-ASUS=ASUS=X00QD-7991-0BFB864B996BF606B937E944F75AB87915BBB83A854692F8A67B222761E65D991,DefaultWidevineAndroidPhone,2021-02-18T00:34:16.376Z,2022-09-30T05:09:58.257Z,2021-02-18T00:34:16.376Z,2022-09-30T05:09:58.257Z,2021-02-18T00:34:16.376Z,2022-09-30T05:09:58.257Z,2021-02-18T00:34:16.376Z,2022-09-30T05:09:58.257Z,
Ale ,NFANDROID1-PRV-P-SAMSUSM-A525M-19970-0531D2DA944707D1593A3192A46D61142A0A10C114E9057A76D5549BD8CFC27D2,DefaultWidevineAndroidPhone,2022-08-15T16:58:31.876Z,2022-09-29T10:59:33.790Z,2022-08-15T16:58:31.876Z,2022-09-29T10:59:33.790Z,2022-08-26T02:42:22.999Z,2022-09-29T10:59:33.790Z,2022-08-26T02:42:22.999Z,2022-09-29T10:59:33.790Z,
Alan ,NFCDCH-AP-JGMYVZER90MLVVH1HEV6HGNVJG5H6L,Netflix Android Phone-Chrome Android Phone,,,,,,,,,
Casa,NFCDCH-AP-JGMYVZER90MLVVH1HEV6HGNVJG5H6L,Netflix Android Phone-Chrome Android Phone,,,,,,,,,
Ale ,NFCDCH-AP-JGMYVZER90MLVVH1HEV6HGNVJG5H6L,Netflix Android Phone-Chrome Android Phone,,,,,,,,,
Ju,NFCDCH-AP-JGMYVZER90MLVVH1HEV6HGNVJG5H6L,Netflix Android Phone-Chrome Android Phone,,,,,,,,,
Adilan,NFCDCH-AP-JGMYVZER90MLVVH1HEV6HGNVJG5H6L,Netflix Android Phone-Chrome Android Phone,,,,,,,,,
Casa,NFANDROID1-PRV-P-SAMSUSM-A525M-19970-0531D2DA944707D1593A3192A46D61142A0A10C114E9057A76D5549BD8CFC27D2,DefaultWidevineAndroidPhone,2022-08-15T16:58:31.876Z,2022-09-29T10:59:33.790Z,2022-08-15T16:58:31.876Z,2022-09-29T10:59:33.790Z,,,,,
Ju,NFANDROID1-PRV-P-SAMSUSM-A525M-19970-0531D2DA944707D1593A3192A46D61142A0A10C114E9057A76D5549BD8CFC27D2,DefaultWidevineAndroidPhone,2022-08-15T16:58:31.876Z,2022-09-29T10:59:33.790Z,2022-08-15T16:58:31.876Z,2022-09-29T10:59:33.790Z,,,,,
Adilan,NFANDROID1-PRV-P-SAMSUSM-A525M-19970-0531D2DA944707D1593A3192A46D61142A0A10C114E9057A76D5549BD8CFC27D2,DefaultWidevineAndroidPhone,2022-08-15T16:58:31.876Z,2022-09-29T10:59:33.790Z,2022-08-15T16:58:31.876Z,2022-09-29T10:59:33.790Z,,,,,
Casa,NFCDOP-01-JHD4Z8XE31YDCHCJFTNA5Y0CDTNRRC,Netflix Opera Other,2022-08-24T12:06:06.747Z,2022-09-26T18:05:19.164Z,2022-08-24T12:06:06.747Z,2022-09-26T18:05:19.164Z,,,,,
Ju,NFCDOP-01-JHD4Z8XE31YDCHCJFTNA5Y0CDTNRRC,Netflix Opera Other,2022-08-24T12:06:06.747Z,2022-09-26T18:05:19.164Z,2022-08-24T12:06:06.747Z,2022-09-26T18:05:19.164Z,,,,,
