Transaction Date,Service Period Start Date,Service Period End Date,Description,Payment Type,Mop Last 4,Mop Creation Date,Mop Pmt Processor Desc,Item Price Amt,Currency,Tax Amt,Gross Sale Amt,Pmt Txn Type,Pmt Status,Final Invoice Result,Country,Next Billing Date
2022-12-09,,,payment_transaction,CC,6993,,,,BRL,,25.9,SALE,NEW,,BR,
2022-12-09,2022-12-09,2023-01-08,SUBSCRIPTION,MASTERCARD,6993,,ADYEN,25.9,BRL,2.87,25.9,SALE,APPROVED,SETTLED,BR,2023-01-09
2022-12-09,,,payment_transaction,CC,6993,,,,BRL,,25.9,SALE,APPROVED,,BR,
2022-12-09,2022-12-09,2023-01-08,SUBSCRIPTION,MASTERCARD,6993,,ADYEN,25.9,BRL,2.87,25.9,SALE,NEW,SETTLED,BR,2023-01-09
2022-11-09,2022-11-09,2022-12-08,SUBSCRIPTION,FREE_TRIAL,6993,,ADYEN,25.9,BRL,2.87,25.9,CAPTURE,APPROVED,SETTLED,BR,2022-12-09
2022-11-09,,,payment_transaction,CC,6993,,,,BRL,,25.9,CAPTURE,APPROVED,,BR,
2022-11-09,,,payment_transaction,CC,6993,,,,BRL,,25.9,CHARGE,APPROVED,,BR,
2022-11-09,,,payment_transaction,CC,9641,,,,BRL,,39.9,SALE,DECLINED,,BR,
2022-11-09,,,payment_transaction,CC,6993,,,,BRL,,25.9,CHARGE,DECLINED,,BR,
2022-11-09,2022-11-09,2022-12-08,SUBSCRIPTION,FREE_TRIAL,6993,,ADYEN,25.9,BRL,2.87,25.9,CHARGE,APPROVED,SETTLED,BR,2022-12-09
2022-11-09,,,payment_transaction,CC,9641,,,,BRL,,39.9,SALE,CANCELED,,BR,
2022-11-08,,,payment_transaction,CC,9641,,,,BRL,,39.9,SALE,DECLINED,,BR,
2022-11-08,,,payment_transaction,CC,9641,,,,BRL,,39.9,CHARGE,DECLINED,,BR,
2022-11-06,,,payment_transaction,CC,9641,,,,BRL,,39.9,SALE,DECLINED,,BR,
2022-11-05,,,payment_transaction,CC,9641,,,,BRL,,39.9,SALE,DECLINED,,BR,
2022-11-04,,,payment_transaction,CC,9641,,,,BRL,,39.9,SALE,DECLINED,,BR,
2022-11-01,,,payment_transaction,CC,9641,,,,BRL,,39.9,SALE,DECLINED,,BR,
2022-10-30,2022-10-30,2022-11-29,SUBSCRIPTION,MASTERCARD,9641,,CIELO,39.9,BRL,4.42,39.9,SALE,NEW,REVERSAL,BR,2022-11-30
2022-10-30,,,payment_transaction,CC,9641,,,,BRL,,39.9,SALE,NEW,,BR,
2022-10-30,,,payment_transaction,CC,9641,,,,BRL,,39.9,SALE,DECLINED,,BR,
2022-10-30,2022-10-30,2022-11-29,SUBSCRIPTION,MASTERCARD,9641,,CIELO,39.9,BRL,4.42,39.9,SALE,DECLINED,REVERSAL,BR,2022-11-30
2022-10-30,2022-10-30,2022-11-29,SUBSCRIPTION,MASTERCARD,9641,,CIELO,39.9,BRL,4.42,39.9,SALE,CANCELED,REVERSAL,BR,2022-11-30
2022-09-30,2022-09-30,2022-10-29,SUBSCRIPTION,MASTERCARD,9641,,ADYEN,39.9,BRL,4.42,39.9,SALE,NEW,SETTLED,BR,2022-10-30
2022-09-30,,,payment_transaction,CC,9641,,,,BRL,,39.9,SALE,APPROVED,,BR,
2022-09-30,2022-09-30,2022-10-29,SUBSCRIPTION,MASTERCARD,9641,,ADYEN,39.9,BRL,4.42,39.9,SALE,APPROVED,SETTLED,BR,2022-10-30
2022-09-30,,,payment_transaction,CC,9641,,,,BRL,,39.9,SALE,NEW,,BR,
2022-08-30,2022-08-30,2022-09-29,SUBSCRIPTION,MASTERCARD,9641,,CIELO,39.9,BRL,4.42,39.9,SALE,APPROVED,REVERSAL,BR,2022-09-30
2022-08-30,2022-08-30,2022-09-29,SUBSCRIPTION,MASTERCARD,9641,,ADYEN,39.9,BRL,4.42,39.9,SALE,NEW,RECOVERY,BR,2022-09-30
2022-08-30,2022-08-30,2022-09-29,SUBSCRIPTION,MASTERCARD,9641,,ADYEN,39.9,BRL,4.42,39.9,SALE,DECLINED,RECOVERY,BR,2022-09-30
2022-08-30,,,payment_transaction,CC,9641,,,,BRL,,39.9,SALE,DECLINED,,BR,
2022-08-30,2022-08-30,2022-09-29,SUBSCRIPTION,MASTERCARD,9641,,ADYEN,39.9,BRL,4.42,39.9,SALE,APPROVED,RECOVERY,BR,2022-09-30
2022-08-30,2022-08-30,2022-09-29,SUBSCRIPTION,MASTERCARD,9641,,CIELO,39.9,BRL,4.42,39.9,SALE,DECLINED,REVERSAL,BR,2022-09-30
2022-08-30,,,payment_transaction,CC,9641,,,,BRL,,39.9,SALE,NEW,,BR,
2022-08-30,,,payment_transaction,CC,9641,,,,BRL,,39.9,SALE,APPROVED,,BR,
2022-08-30,2022-08-30,2022-09-29,SUBSCRIPTION,MASTERCARD,9641,,CIELO,39.9,BRL,4.42,39.9,SALE,NEW,REVERSAL,BR,2022-09-30
2022-07-30,,,payment_transaction,CC,9641,,,,BRL,,39.9,SALE,APPROVED,,BR,
2022-07-30,,,payment_transaction,CC,9641,,,,BRL,,39.9,SALE,NEW,,BR,
2022-07-30,2022-07-30,2022-08-29,SUBSCRIPTION,MASTERCARD,9641,,ADYEN,39.9,BRL,4.42,39.9,SALE,APPROVED,SETTLED,BR,2022-08-30
2022-07-30,2022-07-30,2022-08-29,SUBSCRIPTION,MASTERCARD,9641,,ADYEN,39.9,BRL,4.42,39.9,SALE,NEW,SETTLED,BR,2022-08-30
2022-06-30,,,payment_transaction,CC,9641,,,,BRL,,39.9,SALE,NEW,,BR,
2022-06-30,2022-06-30,2022-07-29,SUBSCRIPTION,MASTERCARD,9641,,ADYEN,39.9,BRL,4.42,39.9,SALE,NEW,SETTLED,BR,2022-07-30
2022-06-30,2022-06-30,2022-07-29,SUBSCRIPTION,MASTERCARD,9641,,ADYEN,39.9,BRL,4.42,39.9,SALE,APPROVED,SETTLED,BR,2022-07-30
2022-06-30,,,payment_transaction,CC,9641,,,,BRL,,39.9,SALE,APPROVED,,BR,
2022-05-30,2022-05-30,2022-06-29,SUBSCRIPTION,MASTERCARD,9641,,ADYEN,39.9,BRL,4.42,39.9,SALE,APPROVED,SETTLED,BR,2022-06-30
2022-05-30,,,payment_transaction,CC,9641,,,,BRL,,39.9,SALE,APPROVED,,BR,
2022-05-30,,,payment_transaction,CC,9641,,,,BRL,,39.9,SALE,NEW,,BR,
2022-05-30,2022-05-30,2022-06-29,SUBSCRIPTION,MASTERCARD,9641,,ADYEN,39.9,BRL,4.42,39.9,SALE,NEW,SETTLED,BR,2022-06-30
2022-04-30,,,payment_transaction,CC,9641,,,,BRL,,39.9,SALE,APPROVED,,BR,
2022-04-30,2022-04-30,2022-05-29,SUBSCRIPTION,MASTERCARD,9641,,ADYEN,39.9,BRL,4.49,39.9,SALE,APPROVED,SETTLED,BR,2022-05-30
2022-04-30,2022-04-30,2022-05-29,SUBSCRIPTION,MASTERCARD,9641,,ADYEN,39.9,BRL,4.49,39.9,SALE,NEW,SETTLED,BR,2022-05-30
2022-04-30,,,payment_transaction,CC,9641,,,,BRL,,39.9,SALE,NEW,,BR,
2022-03-30,2022-03-30,2022-04-29,SUBSCRIPTION,MASTERCARD,9641,,ADYEN,39.9,BRL,4.49,39.9,SALE,NEW,SETTLED,BR,2022-04-30
2022-03-30,,,payment_transaction,CC,9641,,,,BRL,,39.9,SALE,APPROVED,,BR,
2022-03-30,,,payment_transaction,CC,9641,,,,BRL,,39.9,SALE,NEW,,BR,
2022-03-30,2022-03-30,2022-04-29,SUBSCRIPTION,MASTERCARD,9641,,ADYEN,39.9,BRL,4.49,39.9,SALE,APPROVED,SETTLED,BR,2022-04-30
2022-02-28,2022-02-28,2022-03-29,SUBSCRIPTION,MASTERCARD,9641,,ADYEN,39.9,BRL,4.49,39.9,SALE,NEW,SETTLED,BR,2022-03-30
2022-02-28,,,payment_transaction,CC,9641,,,,BRL,,39.9,SALE,APPROVED,,BR,
2022-02-28,,,payment_transaction,CC,9641,,,,BRL,,39.9,SALE,NEW,,BR,
2022-02-28,2022-02-28,2022-03-29,SUBSCRIPTION,MASTERCARD,9641,,ADYEN,39.9,BRL,4.49,39.9,SALE,APPROVED,SETTLED,BR,2022-03-30
2022-01-30,2022-01-30,2022-02-27,SUBSCRIPTION,MASTERCARD,9641,,ADYEN,39.9,BRL,4.49,39.9,SALE,NEW,SETTLED,BR,2022-02-28
2022-01-30,,,payment_transaction,CC,9641,,,,BRL,,39.9,SALE,NEW,,BR,
2022-01-30,,,payment_transaction,CC,9641,,,,BRL,,39.9,SALE,APPROVED,,BR,
2022-01-30,2022-01-30,2022-02-27,SUBSCRIPTION,MASTERCARD,9641,,ADYEN,39.9,BRL,4.49,39.9,SALE,APPROVED,SETTLED,BR,2022-02-28
2021-12-30,,,payment_transaction,CC,9641,,,,BRL,,39.9,SALE,NEW,,BR,
2021-12-30,2021-12-30,2022-01-29,SUBSCRIPTION,MASTERCARD,9641,,ADYEN,39.9,BRL,4.49,39.9,SALE,APPROVED,SETTLED,BR,2022-01-30
2021-12-30,,,payment_transaction,CC,9641,,,,BRL,,39.9,SALE,APPROVED,,BR,
2021-12-30,2021-12-30,2022-01-29,SUBSCRIPTION,MASTERCARD,9641,,ADYEN,39.9,BRL,4.49,39.9,SALE,NEW,SETTLED,BR,2022-01-30
2021-11-30,,,payment_transaction,CC,9641,,,,BRL,,39.9,SALE,NEW,,BR,
2021-11-30,2021-11-30,2021-12-29,SUBSCRIPTION,MASTERCARD,9641,,ADYEN,39.9,BRL,4.49,39.9,SALE,NEW,SETTLED,BR,2021-12-30
2021-11-30,2021-11-30,2021-12-29,SUBSCRIPTION,MASTERCARD,9641,,ADYEN,39.9,BRL,4.49,39.9,SALE,APPROVED,SETTLED,BR,2021-12-30
2021-11-30,,,payment_transaction,CC,9641,,,,BRL,,39.9,SALE,APPROVED,,BR,
2021-10-30,2021-10-30,2021-11-29,SUBSCRIPTION,MASTERCARD,9641,,ADYEN,39.9,BRL,4.49,39.9,SALE,NEW,SETTLED,BR,2021-11-30
2021-10-30,2021-10-30,2021-11-29,SUBSCRIPTION,MASTERCARD,9641,,ADYEN,39.9,BRL,4.49,39.9,SALE,APPROVED,SETTLED,BR,2021-11-30
2021-10-30,,,payment_transaction,CC,9641,,,,BRL,,39.9,SALE,NEW,,BR,
2021-10-30,,,payment_transaction,CC,9641,,,,BRL,,39.9,SALE,APPROVED,,BR,
2021-09-30,2021-09-30,2021-10-29,SUBSCRIPTION,MASTERCARD,9641,,ADYEN,39.9,BRL,4.49,39.9,SALE,DECLINED,RECOVERY,BR,2021-10-30
2021-09-30,,,payment_transaction,CC,9641,,,,BRL,,39.9,SALE,APPROVED,,BR,
2021-09-30,2021-09-30,2021-10-29,SUBSCRIPTION,MASTERCARD,9641,,ADYEN,39.9,BRL,4.49,39.9,SALE,APPROVED,RECOVERY,BR,2021-10-30
2021-09-30,2021-09-30,2021-10-29,SUBSCRIPTION,MASTERCARD,9641,,ADYEN,39.9,BRL,4.49,39.9,SALE,NEW,RECOVERY,BR,2021-10-30
2021-09-28,,,payment_transaction,CC,9641,,,,BRL,,39.9,SALE,DECLINED,,BR,
2021-09-28,2021-09-27,2021-10-26,SUBSCRIPTION,MASTERCARD,9641,,ADYEN,39.9,BRL,4.49,39.9,SALE,NEW,REVERSAL,BR,2021-10-27
2021-09-28,2021-09-27,2021-10-26,SUBSCRIPTION,MASTERCARD,9641,,ADYEN,39.9,BRL,4.49,39.9,SALE,DECLINED,REVERSAL,BR,2021-10-27
2021-09-28,2021-09-27,2021-10-26,SUBSCRIPTION,MASTERCARD,9641,,ADYEN,39.9,BRL,4.49,39.9,SALE,APPROVED,REVERSAL,BR,2021-10-27
2021-09-27,,,payment_transaction,CC,9641,,,,BRL,,39.9,SALE,DECLINED,,BR,
2021-09-27,,,payment_transaction,CC,9641,,,,BRL,,39.9,SALE,NEW,,BR,
2021-08-27,,,payment_transaction,CC,9641,,,,BRL,,39.9,SALE,APPROVED,,BR,
2021-08-27,,,payment_transaction,CC,9641,,,,BRL,,39.9,SALE,NEW,,BR,
2021-08-27,2021-08-27,2021-09-26,SUBSCRIPTION,MASTERCARD,9641,,ADYEN,39.9,BRL,4.49,39.9,SALE,NEW,SETTLED,BR,2021-09-27
2021-08-27,2021-08-27,2021-09-26,SUBSCRIPTION,MASTERCARD,9641,,ADYEN,39.9,BRL,4.49,39.9,SALE,APPROVED,SETTLED,BR,2021-09-27
2021-07-27,,,payment_transaction,CC,9641,,,,BRL,,32.9,SALE,APPROVED,,BR,
2021-07-27,2021-07-27,2021-08-26,SUBSCRIPTION,MASTERCARD,9641,,ADYEN,32.9,BRL,3.7,32.9,SALE,NEW,SETTLED,BR,2021-08-27
2021-07-27,,,payment_transaction,CC,9641,,,,BRL,,32.9,SALE,NEW,,BR,
2021-07-27,2021-07-27,2021-08-26,SUBSCRIPTION,MASTERCARD,9641,,ADYEN,32.9,BRL,3.7,32.9,SALE,APPROVED,SETTLED,BR,2021-08-27
2021-06-27,,,payment_transaction,CC,9641,,,,BRL,,32.9,SALE,NEW,,BR,
2021-06-27,2021-06-27,2021-07-26,SUBSCRIPTION,MASTERCARD,9641,,CIELO,32.9,BRL,3.7,32.9,SALE,NEW,SETTLED,BR,2021-07-27
2021-06-27,2021-06-27,2021-07-26,SUBSCRIPTION,MASTERCARD,9641,,CIELO,32.9,BRL,3.7,32.9,SALE,APPROVED,SETTLED,BR,2021-07-27
2021-06-27,,,payment_transaction,CC,9641,,,,BRL,,32.9,SALE,APPROVED,,BR,
2021-05-27,2021-05-27,2021-06-26,SUBSCRIPTION,MASTERCARD,9641,,ADYEN,32.9,BRL,3.7,32.9,SALE,APPROVED,SETTLED,BR,2021-06-27
2021-05-27,,,payment_transaction,CC,9641,,,,BRL,,32.9,SALE,APPROVED,,BR,
2021-05-27,,,payment_transaction,CC,9641,,,,BRL,,32.9,SALE,NEW,,BR,
2021-05-27,2021-05-27,2021-06-26,SUBSCRIPTION,MASTERCARD,9641,,ADYEN,32.9,BRL,3.7,32.9,SALE,NEW,SETTLED,BR,2021-06-27
